parameter,question_id,question_text,document_id,question,ground_truth,predicted_answer,num_docs,exact_match,contains_answer,f1_score,cosine_similarity,euclidean_distance,dot_product_similarity,manhattan_distance,bertscore_precision,bertscore_recall,bertscore_f1
2,1492,Did Theodore Roosevelt study Judo?,"2883,3005",Did Theodore Roosevelt study Judo?,No,No,2,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
3,1492,Did Theodore Roosevelt study Judo?,"2883,2890,3005",Did Theodore Roosevelt study Judo?,No,No.,3,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
5,1492,Did Theodore Roosevelt study Judo?,"2883,2890,3005,3008,3033",Did Theodore Roosevelt study Judo?,No,No.,5,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
7,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033,3036",Did Theodore Roosevelt study Judo?,No,No.,7,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
10,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,2895,3005,3008,3027,3029,3033,3036",Did Theodore Roosevelt study Judo?,No,No.,10,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
2,178,Are beetles endopterygotes?,"2394,2399",Are beetles endopterygotes?,yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,178,Are beetles endopterygotes?,"2394,2399,2419",Are beetles endopterygotes?,yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,178,Are beetles endopterygotes?,"2383,2392,2394,2399,2419",Are beetles endopterygotes?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,178,Are beetles endopterygotes?,"2383,2384,2392,2394,2399,2417,2419",Are beetles endopterygotes?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,178,Are beetles endopterygotes?,"2383,2384,2392,2394,2399,2400,2402,2417,2419,2443",Are beetles endopterygotes?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,867,What did James Monroe make in 1817?,"2506,2518",What did James Monroe make in 1817?,two long tours,President,2,False,False,0.0,0.3303811961043487,1.157254340147966,0.3303811961043487,25.275854899515064,0.7050562500953674,0.6658591032028198,0.6848973035812378
3,867,What did James Monroe make in 1817?,"2506,2518,2536",What did James Monroe make in 1817?,two long tours,President,3,False,False,0.0,0.3303811961043487,1.157254340147966,0.3303811961043487,25.275854899515064,0.7050562500953674,0.6658591032028198,0.6848973035812378
5,867,What did James Monroe make in 1817?,"2506,2518,2519,2532,2536",What did James Monroe make in 1817?,two long tours,The fifth President of the United States.,5,False,False,0.0,0.2874165304200254,1.1938035597031662,0.2874165304200254,26.612212746927444,0.5760225653648376,0.6219834089279175,0.5981214046478271
7,867,What did James Monroe make in 1817?,"2506,2513,2518,2519,2532,2533,2536",What did James Monroe make in 1817?,two long tours,Two long tours.,7,True,True,1.0,0.9352428240492618,0.359881024647699,0.9352428240492618,7.881769874928849,0.9023586511611938,0.9765478372573853,0.9379885196685791
10,867,What did James Monroe make in 1817?,"2364,2506,2511,2513,2518,2519,2532,2533,2534,2536",What did James Monroe make in 1817?,two long tours,Two long tours.,10,True,True,1.0,0.9352428240492618,0.359881024647699,0.9352428240492618,7.881769874928849,0.9023586511611938,0.9765478372573853,0.9379885196685791
2,4,Did his mother die of pneumonia?,"1396,3085",Did his mother die of pneumonia?,no,No,2,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
3,4,Did his mother die of pneumonia?,"187,1396,3085",Did his mother die of pneumonia?,no,No,3,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
5,4,Did his mother die of pneumonia?,"146,187,1396,1967,3085",Did his mother die of pneumonia?,no,No,5,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
7,4,Did his mother die of pneumonia?,"146,187,524,1396,1967,2894,3085",Did his mother die of pneumonia?,no,No,7,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
10,4,Did his mother die of pneumonia?,"146,187,262,524,1396,1397,1967,2108,2894,3085",Did his mother die of pneumonia?,no,No,10,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
2,1480,Where was Theodore Roosevelt born?,"2883,3033",Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,New York City,2,False,False,0.375,0.5961385781350788,0.8987340227953116,0.5961385781350788,19.51376424179686,0.8768234252929688,0.6154677867889404,0.7232590913772583
3,1480,Where was Theodore Roosevelt born?,"2883,2884,3033",Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,28 East 20th Street,3,False,False,0.47058823529411764,0.8101352441819456,0.6162219662070721,0.8101352441819456,13.419514183016226,0.960236668586731,0.6845951080322266,0.7993198037147522
5,1480,Where was Theodore Roosevelt born?,"2086,2878,2883,2884,3033",Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,"28 East 20th Street, Gramercy section of New York City",5,False,False,0.8695652173913044,0.957653737727751,0.2910198009491806,0.957653737727751,6.4884902449878314,0.9714162349700928,0.9059386849403381,0.9375356435775757
7,1480,Where was Theodore Roosevelt born?,"2086,2878,2883,2884,2885,3029,3033",Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,"28 East 20th Street, in the modern-day Gramercy section of New York City.",7,True,True,1.0,0.893713698888033,0.4610559643079521,0.893713698888033,9.95745820778621,0.9590398073196411,0.989626944065094,0.9740932583808899
10,1480,Where was Theodore Roosevelt born?,"2086,2248,2878,2883,2884,2885,2975,2999,3029,3033",Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,"28 East 20th Street, in the modern-day Gramercy section of New York City.",10,True,True,1.0,0.893713698888033,0.4610559643079521,0.893713698888033,9.95745820778621,0.9590398073196411,0.989626944065094,0.9740932583808899
2,428,Are elephants the largest land animals alive today?,"1177,1192",Are elephants the largest land animals alive today?,yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,428,Are elephants the largest land animals alive today?,"1177,1192,1282",Are elephants the largest land animals alive today?,yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,428,Are elephants the largest land animals alive today?,"1177,1192,1236,1260,1282",Are elephants the largest land animals alive today?,yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,428,Are elephants the largest land animals alive today?,"1177,1187,1192,1202,1236,1260,1282",Are elephants the largest land animals alive today?,yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,428,Are elephants the largest land animals alive today?,"1177,1186,1187,1192,1197,1202,1236,1260,1269,1282",Are elephants the largest land animals alive today?,yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,774,What happens when the srivijaya kingdom formed trade links?,"752,763",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,trade links with China were formed.,2,False,False,0.14285714285714288,0.6034344881386063,0.8905790384479019,0.6034344881386063,19.28011537878242,0.7766720056533813,0.7478360533714294,0.7619813084602356
3,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,"The Indonesian archipelago has been an important trade region since at least the seventh century, when the Srivijaya Kingdom formed trade links with China.",3,False,False,0.48275862068965514,0.8129750826902257,0.6115961368579358,0.8129750826902257,13.34926527259179,0.7816809415817261,0.948374330997467,0.8569970726966858
5,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765,2180,2366",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,5,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
7,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,2180,2364,2366",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,7,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
10,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,1374,2180,2364,2366,2814,2911",What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,The Srivijaya Kingdom formed trade links with China.,10,False,False,0.25,0.5706000070373073,0.9267146194624254,0.5706000070373073,19.990015603160998,0.752068281173706,0.8132179975509644,0.7814486622810364
2,47,How long was Lincoln's legal Career?,"374,390",How long was Lincoln's legal Career?,23 years,Unknown,2,False,False,0.0,0.42887827472106665,1.0687579008165835,0.42887827472106665,23.378168216819617,0.6131957173347473,0.6018896698951721,0.607490062713623
3,47,How long was Lincoln's legal Career?,"292,374,390",How long was Lincoln's legal Career?,23 years,14 years,3,False,False,0.5,0.704411218957369,0.7688807203235526,0.704411218957369,15.907655660482298,0.9288710951805115,0.9288710951805115,0.9288710951805115
5,47,How long was Lincoln's legal Career?,"288,292,306,374,390",How long was Lincoln's legal Career?,23 years,23 years,5,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
7,47,How long was Lincoln's legal Career?,"288,292,306,374,390,397,2364",How long was Lincoln's legal Career?,23 years,23 years,7,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
10,47,How long was Lincoln's legal Career?,"278,288,292,302,306,374,390,397,2086,2364",How long was Lincoln's legal Career?,23 years,23 years,10,True,True,1.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.9999995231628418,0.9999995231628418,0.9999995231628418
2,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,2,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
3,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,3,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
5,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,1267,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
7,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,803,806,1260,1267,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,7,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
10,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,801,803,804,806,1260,1267,2707,2730,2734","Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes,Yes.,10,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
2,595,Have more than five Presidents lived past the age of 90?,"2103,2883",Have more than five Presidents lived past the age of 90?,no,No,2,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
3,595,Have more than five Presidents lived past the age of 90?,"2092,2103,2883",Have more than five Presidents lived past the age of 90?,no,No.,3,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
5,595,Have more than five Presidents lived past the age of 90?,"409,427,2092,2103,2883",Have more than five Presidents lived past the age of 90?,no,No.,5,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
