question_id,question_text,document_idx,embedding_method
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","953,1182,1192,1204,2595",bert-base-uncased
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","952,953,967,975,979",multi-qa-mpnet-base-dot-v1
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","950,2467,2471,2596,2642",hkunlp-instructor-large
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","951,952,953,979,981",intfloat-e5-small-v2
873,What does a citizen use to propose changes to the Constitution?,"25,656,657,658,2141",bert-base-uncased
873,What does a citizen use to propose changes to the Constitution?,"171,826,1368,2365,2374",multi-qa-mpnet-base-dot-v1
873,What does a citizen use to propose changes to the Constitution?,"789,826,1368,2374,2718",hkunlp-instructor-large
873,What does a citizen use to propose changes to the Constitution?,"25,760,2120,2682,2840",intfloat-e5-small-v2
515,Is Liechtenstein bordered by Switzerland?,"30,2188,2846,2847,2874",bert-base-uncased
515,Is Liechtenstein bordered by Switzerland?,"2817,2843,2844,2846,2874",multi-qa-mpnet-base-dot-v1
515,Is Liechtenstein bordered by Switzerland?,"29,30,1592,2571,2855",hkunlp-instructor-large
515,Is Liechtenstein bordered by Switzerland?,"2817,2828,2844,2845,2846",intfloat-e5-small-v2
390,When was James Monroe appointed to Secretary of War?,"200,636,2231,2511,2965",bert-base-uncased
390,When was James Monroe appointed to Secretary of War?,"2506,2509,2512,2518,2519",multi-qa-mpnet-base-dot-v1
390,When was James Monroe appointed to Secretary of War?,"202,680,2518,2519,2903",hkunlp-instructor-large
390,When was James Monroe appointed to Secretary of War?,"2506,2509,2511,2512,2513",intfloat-e5-small-v2
376,What is Monroe's father's name?,"201,248,379,483,1864",bert-base-uncased
376,What is Monroe's father's name?,"2507,2518,2519,2523,2536",multi-qa-mpnet-base-dot-v1
376,What is Monroe's father's name?,"289,499,789,2518,2903",hkunlp-instructor-large
376,What is Monroe's father's name?,"1383,2506,2507,2521,2525",intfloat-e5-small-v2
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"419,445,485,2916,2981",bert-base-uncased
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"734,2843,2851,2853,2876",multi-qa-mpnet-base-dot-v1
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"29,2571,2851,2855,3161",hkunlp-instructor-large
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"760,1945,2120,2682,2851",intfloat-e5-small-v2
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","1350,1656,2141,2567,2702",bert-base-uncased
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","4,1655,2339,2369,2736",multi-qa-mpnet-base-dot-v1
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","782,2180,2369,2571,3161",hkunlp-instructor-large
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","4,1655,2369,2682,2736",intfloat-e5-small-v2
649,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?","953,1182,1192,1203,1204",bert-base-uncased
649,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?","952,953,967,975,979",multi-qa-mpnet-base-dot-v1
649,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?","950,1147,2467,2596,2642",hkunlp-instructor-large
649,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?","951,952,953,979,981",intfloat-e5-small-v2
5,When did Lincoln begin his political career?,"342,379,478,2228,2231",bert-base-uncased
5,When did Lincoln begin his political career?,"289,290,319,391,2364",multi-qa-mpnet-base-dot-v1
5,When did Lincoln begin his political career?,"203,289,374,2116,2950",hkunlp-instructor-large
5,When did Lincoln begin his political career?,"279,290,294,376,478",intfloat-e5-small-v2
66,Are certain species of beetles considered pests?,"2378,2425,2429,2432,2433",bert-base-uncased
66,Are certain species of beetles considered pests?,"2378,2394,2425,2432,2443",multi-qa-mpnet-base-dot-v1
66,Are certain species of beetles considered pests?,"789,1147,2400,2425,2439",hkunlp-instructor-large
66,Are certain species of beetles considered pests?,"2378,2423,2425,2426,2428",intfloat-e5-small-v2
775,Does Theodore Roosevelt have a brother?,"347,510,1493,2883,2976",bert-base-uncased
775,Does Theodore Roosevelt have a brother?,"433,2883,2884,2888,3033",multi-qa-mpnet-base-dot-v1
775,Does Theodore Roosevelt have a brother?,"289,499,2518,2883,2892",hkunlp-instructor-large
775,Does Theodore Roosevelt have a brother?,"2878,2884,2888,2952,3042",intfloat-e5-small-v2
592,Do otters live in water?,"978,1042,1264,2629,3185",bert-base-uncased
592,Do otters live in water?,"1917,1919,1924,1927,1935",multi-qa-mpnet-base-dot-v1
592,Do otters live in water?,"1197,1924,1929,2596,2642",hkunlp-instructor-large
592,Do otters live in water?,"1913,1917,1919,1920,1927",intfloat-e5-small-v2
553,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,"176,2511,2517,2948,2949",bert-base-uncased
553,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,"176,491,1826,2159,2802",multi-qa-mpnet-base-dot-v1
553,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,"789,795,2012,2180,3162",hkunlp-instructor-large
553,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,"176,760,1840,1841,2682",intfloat-e5-small-v2
446,Is a kangaroo a reptile?,"1042,1210,1269,1287,3185",bert-base-uncased
446,Is a kangaroo a reptile?,"1722,1728,1729,1735,1761",multi-qa-mpnet-base-dot-v1
446,Is a kangaroo a reptile?,"789,1761,2467,2471,2642",hkunlp-instructor-large
446,Is a kangaroo a reptile?,"1722,1733,1735,1737,1745",intfloat-e5-small-v2
264,Has another US President been an Eagle Scout?,"1480,2527,2962,2973,3001",bert-base-uncased
264,Has another US President been an Eagle Scout?,"2000,2001,2086,2121,3001",multi-qa-mpnet-base-dot-v1
264,Has another US President been an Eagle Scout?,"289,2116,2655,2883,2903",hkunlp-instructor-large
264,Has another US President been an Eagle Scout?,"2000,2001,2682,2934,3001",intfloat-e5-small-v2
91,When did Coolidge meet and marry Grace Anna Goodhue?,"432,451,483,1831,1867",bert-base-uncased
91,When did Coolidge meet and marry Grace Anna Goodhue?,"404,408,410,433,444",multi-qa-mpnet-base-dot-v1
91,When did Coolidge meet and marry Grace Anna Goodhue?,"410,413,428,499,2903",hkunlp-instructor-large
91,When did Coolidge meet and marry Grace Anna Goodhue?,"400,405,408,410,473",intfloat-e5-small-v2
13,Which county was Lincoln born in?,"298,1774,2234,2238,2968",bert-base-uncased
13,Which county was Lincoln born in?,"283,286,289,317,391",multi-qa-mpnet-base-dot-v1
13,Which county was Lincoln born in?,"202,203,289,374,2950",hkunlp-instructor-large
13,Which county was Lincoln born in?,"283,285,286,287,304",intfloat-e5-small-v2
743,How much increase in the media's contribution to GDP is the government seeking?,"39,813,902,904,1660",bert-base-uncased
743,How much increase in the media's contribution to GDP is the government seeking?,"826,1368,2369,2781,3117",multi-qa-mpnet-base-dot-v1
743,How much increase in the media's contribution to GDP is the government seeking?,"826,1368,2374,2718,3161",hkunlp-instructor-large
743,How much increase in the media's contribution to GDP is the government seeking?,"760,781,2120,2682,2781",intfloat-e5-small-v2
565,How did Fillmore ascend to the presidency?,"436,503,2026,2041,2932",bert-base-uncased
565,How did Fillmore ascend to the presidency?,"149,162,177,185,204",multi-qa-mpnet-base-dot-v1
565,How did Fillmore ascend to the presidency?,"195,202,289,2116,2518",hkunlp-instructor-large
565,How did Fillmore ascend to the presidency?,"149,162,163,200,201",intfloat-e5-small-v2
851,What happened in 1865?,"232,247,1544,1545,3125",bert-base-uncased
851,What happened in 1865?,"203,279,332,354,2364",multi-qa-mpnet-base-dot-v1
851,What happened in 1865?,"202,203,789,2115,2116",hkunlp-instructor-large
851,What happened in 1865?,"202,355,760,2364,2682",intfloat-e5-small-v2
895,Who was President when Wilson finished Congressional Government?,"510,2136,2138,2141,2203",bert-base-uncased
895,Who was President when Wilson finished Congressional Government?,"2138,2195,2208,2231,2238",multi-qa-mpnet-base-dot-v1
895,Who was President when Wilson finished Congressional Government?,"2195,2208,2210,2518,2718",hkunlp-instructor-large
895,Who was President when Wilson finished Congressional Government?,"2129,2144,2145,2153,2231",intfloat-e5-small-v2
603,Why is the giant otter becoming increasingly rare?,"1114,1142,1274,2622,2641",bert-base-uncased
603,Why is the giant otter becoming increasingly rare?,"1923,1924,1929,1931,1935",multi-qa-mpnet-base-dot-v1
603,Why is the giant otter becoming increasingly rare?,"1147,1171,1929,2596,2642",hkunlp-instructor-large
603,Why is the giant otter becoming increasingly rare?,"760,1739,1919,1922,1931",intfloat-e5-small-v2
842,When did he vote for democrat james buchanan?,"173,478,484,1780,2231",bert-base-uncased
842,When did he vote for democrat james buchanan?,"202,203,478,484,2116",multi-qa-mpnet-base-dot-v1
842,When did he vote for democrat james buchanan?,"202,203,289,680,2116",hkunlp-instructor-large
842,When did he vote for democrat james buchanan?,"474,478,484,1780,2144",intfloat-e5-small-v2
822,Is aquatic respiration in Australian freshwater turtles being studied?,"1237,1274,1946,2686,3164",bert-base-uncased
822,Is aquatic respiration in Australian freshwater turtles being studied?,"2389,2684,2685,2686,2690",multi-qa-mpnet-base-dot-v1
822,Is aquatic respiration in Australian freshwater turtles being studied?,"1197,1202,2467,2642,2685",hkunlp-instructor-large
822,Is aquatic respiration in Australian freshwater turtles being studied?,"760,2120,2682,2684,2686",intfloat-e5-small-v2
403,Was Monroe anticlerical?,"379,482,483,1167,2141",bert-base-uncased
403,Was Monroe anticlerical?,"391,2506,2516,2525,2534",multi-qa-mpnet-base-dot-v1
403,Was Monroe anticlerical?,"289,499,2518,2903,2950",hkunlp-instructor-large
403,Was Monroe anticlerical?,"2516,2525,2534,2535,2682",intfloat-e5-small-v2
660,Does a polar bear live in the Arctic?,"1925,2618,2620,2622,2623",bert-base-uncased
660,Does a polar bear live in the Arctic?,"2592,2608,2618,2642,2652",multi-qa-mpnet-base-dot-v1
660,Does a polar bear live in the Arctic?,"2596,2608,2633,2642,2652",hkunlp-instructor-large
660,Does a polar bear live in the Arctic?,"2591,2592,2618,2624,2642",intfloat-e5-small-v2
574,Is the comic strip Mallard Fillmore named after the president ?,"191,1480,1864,1874,2973",bert-base-uncased
574,Is the comic strip Mallard Fillmore named after the president ?,"191,195,198,200,204",multi-qa-mpnet-base-dot-v1
574,Is the comic strip Mallard Fillmore named after the president ?,"191,195,289,680,2518",hkunlp-instructor-large
574,Is the comic strip Mallard Fillmore named after the president ?,"191,195,200,201,204",intfloat-e5-small-v2
505,Is the leopard solitary?,"1042,1049,1081,1329,2706",bert-base-uncased
505,Is the leopard solitary?,"2455,2462,2466,2467,2474",multi-qa-mpnet-base-dot-v1
505,Is the leopard solitary?,"1147,2462,2467,2471,2642",hkunlp-instructor-large
505,Is the leopard solitary?,"2445,2455,2458,2466,2490",intfloat-e5-small-v2
541,The Historical Society of the Principality of Liechtenstein plays what?,"2825,2832,2840,2863,2869",bert-base-uncased
541,The Historical Society of the Principality of Liechtenstein plays what?,"2849,2863,2864,2866,2868",multi-qa-mpnet-base-dot-v1
541,The Historical Society of the Principality of Liechtenstein plays what?,"1592,1627,2718,2855,3162",hkunlp-instructor-large
541,The Historical Society of the Principality of Liechtenstein plays what?,"2817,2819,2863,2864,2868",intfloat-e5-small-v2
667,How much weight do female polar bears gain during pregnancy?,"1251,1254,1257,2464,2607",bert-base-uncased
667,How much weight do female polar bears gain during pregnancy?,"2591,2595,2608,2635,2642",multi-qa-mpnet-base-dot-v1
667,How much weight do female polar bears gain during pregnancy?,"2596,2608,2633,2642,2652",hkunlp-instructor-large
667,How much weight do female polar bears gain during pregnancy?,"760,1043,2591,2595,2635",intfloat-e5-small-v2
503,What sort of cats are solitary?,"1042,1137,1210,1287,3185",bert-base-uncased
503,What sort of cats are solitary?,"1035,1167,2458,2475,2596",multi-qa-mpnet-base-dot-v1
503,What sort of cats are solitary?,"1147,1172,2467,2471,2642",hkunlp-instructor-large
503,What sort of cats are solitary?,"760,1531,1944,2458,2682",intfloat-e5-small-v2
210,Are elephants mammals?,"1173,1215,1264,1269,1326",bert-base-uncased
210,Are elephants mammals?,"1186,1197,1236,1260,1282",multi-qa-mpnet-base-dot-v1
210,Are elephants mammals?,"1186,1197,1202,1224,1252",hkunlp-instructor-large
210,Are elephants mammals?,"1175,1177,1190,1225,1264",intfloat-e5-small-v2
672,What do with greenpeace and the natural resources defense council have in common?,"1271,2320,2594,2656,2657",bert-base-uncased
672,What do with greenpeace and the natural resources defense council have in common?,"2181,2374,2647,2656,2682",multi-qa-mpnet-base-dot-v1
672,What do with greenpeace and the natural resources defense council have in common?,"30,2543,2571,2611,2642",hkunlp-instructor-large
672,What do with greenpeace and the natural resources defense council have in common?,"760,2181,2644,2656,2682",intfloat-e5-small-v2
315,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"175,474,683,2192,2293",bert-base-uncased
315,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"499,503,511,534,2921",multi-qa-mpnet-base-dot-v1
315,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"202,203,499,2116,2903",hkunlp-instructor-large
315,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"478,492,502,503,511",intfloat-e5-small-v2
643,"Is it also possible that penguin comes from the Latin pinguis , fat ?","996,997,998,1289,3177",bert-base-uncased
643,"Is it also possible that penguin comes from the Latin pinguis , fat ?","974,993,996,997,998",multi-qa-mpnet-base-dot-v1
643,"Is it also possible that penguin comes from the Latin pinguis , fat ?","950,1172,2467,2642,3060",hkunlp-instructor-large
643,"Is it also possible that penguin comes from the Latin pinguis , fat ?","981,996,997,1000,2682",intfloat-e5-small-v2
859,What are poor neighborhoods called informally?,"67,216,2141,3190,3192",bert-base-uncased
859,What are poor neighborhoods called informally?,"58,61,67,68,2372",multi-qa-mpnet-base-dot-v1
859,What are poor neighborhoods called informally?,"61,789,2483,2718,2816",hkunlp-instructor-large
859,What are poor neighborhoods called informally?,"67,760,1911,1912,2682",intfloat-e5-small-v2
556,Did Fillmore run for President a second time?,"416,451,2026,2243,2932",bert-base-uncased
556,Did Fillmore run for President a second time?,"149,154,156,185,204",multi-qa-mpnet-base-dot-v1
556,Did Fillmore run for President a second time?,"195,202,203,289,2116",hkunlp-instructor-large
556,Did Fillmore run for President a second time?,"149,163,185,200,201",intfloat-e5-small-v2
904,Where was Woodrow Wilson born?,"1439,2226,2228,2959,2976",bert-base-uncased
904,Where was Woodrow Wilson born?,"2132,2195,2238,2245,2248",multi-qa-mpnet-base-dot-v1
904,Where was Woodrow Wilson born?,"289,2208,2210,2518,2903",hkunlp-instructor-large
904,Where was Woodrow Wilson born?,"403,2129,2132,2134,2230",intfloat-e5-small-v2
45,Is it true that thermometer had 100 for the freezing point?,"145,146,592,1452,1583",bert-base-uncased
45,Is it true that thermometer had 100 for the freezing point?,"140,145,146,542,3186",multi-qa-mpnet-base-dot-v1
45,Is it true that thermometer had 100 for the freezing point?,"140,789,2551,2642,2950",hkunlp-instructor-large
45,Is it true that thermometer had 100 for the freezing point?,"760,896,1945,2551,2682",intfloat-e5-small-v2
830,Was Ulysses Grant a general in the American Civil War?,"478,1768,1797,1839,2527",bert-base-uncased
830,Was Ulysses Grant a general in the American Civil War?,"1768,1792,1797,1888,1889",multi-qa-mpnet-base-dot-v1
830,Was Ulysses Grant a general in the American Civil War?,"289,1792,1839,1844,2903",hkunlp-instructor-large
830,Was Ulysses Grant a general in the American Civil War?,"349,1768,1792,1797,1811",intfloat-e5-small-v2
662,Is a polar bear at high risk of extinction?,"1022,2594,2622,2623,2640",bert-base-uncased
662,Is a polar bear at high risk of extinction?,"2594,2608,2622,2640,2642",multi-qa-mpnet-base-dot-v1
662,Is a polar bear at high risk of extinction?,"1147,2596,2608,2642,2652",hkunlp-instructor-large
662,Is a polar bear at high risk of extinction?,"2594,2622,2641,2642,2647",intfloat-e5-small-v2
488,Where do leopards often hide their kills?,"1116,1124,1137,2460,2496",bert-base-uncased
488,Where do leopards often hide their kills?,"2458,2460,2462,2472,2474",multi-qa-mpnet-base-dot-v1
488,Where do leopards often hide their kills?,"2462,2467,2471,2642,2655",hkunlp-instructor-large
488,Where do leopards often hide their kills?,"2458,2459,2460,2490,2493",intfloat-e5-small-v2
14,When did Lincoln first serve as President?,"478,636,2228,2231,2237",bert-base-uncased
14,When did Lincoln first serve as President?,"279,289,320,2086,2121",multi-qa-mpnet-base-dot-v1
14,When did Lincoln first serve as President?,"202,203,289,374,2950",hkunlp-instructor-large
14,When did Lincoln first serve as President?,"279,289,315,368,2971",intfloat-e5-small-v2
37,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"78,225,550,737,2255",bert-base-uncased
37,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"725,736,737,740,746",multi-qa-mpnet-base-dot-v1
37,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"140,724,789,896,946",hkunlp-instructor-large
37,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"725,736,737,740,746",intfloat-e5-small-v2
706,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?","841,2538,2539,2540,2589",bert-base-uncased
706,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?","2537,2538,2543,2552,2571",multi-qa-mpnet-base-dot-v1
706,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?","2543,2556,2557,2559,2571",hkunlp-instructor-large
706,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?","2538,2574,2582,2583,2589",intfloat-e5-small-v2
202,Is the Asian elephant larger than the African?,"1175,1192,1193,1274,1328",bert-base-uncased
202,Is the Asian elephant larger than the African?,"1180,1182,1189,1198,1236",multi-qa-mpnet-base-dot-v1
202,Is the Asian elephant larger than the African?,"1186,1197,1202,1224,1252",hkunlp-instructor-large
202,Is the Asian elephant larger than the African?,"1182,1189,1192,1198,1225",intfloat-e5-small-v2
38,Did the scientific community not reserve great attention to his theory ?,"580,1443,1495,2141,2994",bert-base-uncased
38,Did the scientific community not reserve great attention to his theory ?,"130,745,832,1443,1448",multi-qa-mpnet-base-dot-v1
38,Did the scientific community not reserve great attention to his theory ?,"946,1407,1447,2275,2483",hkunlp-instructor-large
38,Did the scientific community not reserve great attention to his theory ?,"130,598,734,745,1443",intfloat-e5-small-v2
73,Is the Adephaga suborder larger than the Polyphaga suborder?,"971,981,2418,2422,2691",bert-base-uncased
73,Is the Adephaga suborder larger than the Polyphaga suborder?,"2415,2417,2418,2421,2422",multi-qa-mpnet-base-dot-v1
73,Is the Adephaga suborder larger than the Polyphaga suborder?,"970,1002,1936,1937,1942",hkunlp-instructor-large
73,Is the Adephaga suborder larger than the Polyphaga suborder?,"760,2120,2418,2419,2422",intfloat-e5-small-v2
455,Have kangaroos fared well since European S08_settlement?,"11,1723,1727,1756,2905",bert-base-uncased
455,Have kangaroos fared well since European S08_settlement?,"1723,1729,1735,1755,1756",multi-qa-mpnet-base-dot-v1
455,Have kangaroos fared well since European S08_settlement?,"1172,2467,2642,2655,3179",hkunlp-instructor-large
455,Have kangaroos fared well since European S08_settlement?,"1723,1745,1748,1755,1756",intfloat-e5-small-v2
