question_id,question_text,document_idx,embedding_method
690,What universities are in Education City?,"885,1544,1554,1699,2141",bert-base-uncased
690,What universities are in Education City?,"1373,2584,2619,2769,3111",multi-qa-mpnet-base-dot-v1
690,What universities are in Education City?,"789,946,2571,2718,3111",hkunlp-instructor-large
690,What universities are in Education City?,"760,2584,2682,2767,3111",intfloat-e5-small-v2
241,What is the capital city?,"232,894,1544,2141,3125",bert-base-uncased
241,What is the capital city?,"37,785,2368,2614,2619",multi-qa-mpnet-base-dot-v1
241,What is the capital city?,"789,2299,2571,2619,2718",hkunlp-instructor-large
241,What is the capital city?,"37,65,785,810,3108",intfloat-e5-small-v2
314,What did Cleveland die from?,"232,510,1293,1544,1545",bert-base-uncased
314,What did Cleveland die from?,"486,499,516,525,526",multi-qa-mpnet-base-dot-v1
314,What did Cleveland die from?,"499,501,526,789,2903",hkunlp-instructor-large
314,What did Cleveland die from?,"519,520,525,760,2682",intfloat-e5-small-v2
372,Is James Monrow the fifth president of US?,"129,201,1480,1544,2968",bert-base-uncased
372,Is James Monrow the fifth president of US?,"185,203,499,2086,2116",multi-qa-mpnet-base-dot-v1
372,Is James Monrow the fifth president of US?,"202,203,289,680,2518",hkunlp-instructor-large
372,Is James Monrow the fifth president of US?,"204,760,1873,2506,2682",intfloat-e5-small-v2
107,Did Coolidge meet and marry Grace Anna Goodhue?,"401,428,444,1831,2022",bert-base-uncased
107,Did Coolidge meet and marry Grace Anna Goodhue?,"404,408,410,433,444",multi-qa-mpnet-base-dot-v1
107,Did Coolidge meet and marry Grace Anna Goodhue?,"410,413,428,499,2903",hkunlp-instructor-large
107,Did Coolidge meet and marry Grace Anna Goodhue?,"405,408,410,419,424",intfloat-e5-small-v2
394,Which property did James Monroe sell in 1817?,"483,647,2520,2526,2527",bert-base-uncased
394,Which property did James Monroe sell in 1817?,"2506,2518,2520,2521,2536",multi-qa-mpnet-base-dot-v1
394,Which property did James Monroe sell in 1817?,"202,680,2518,2718,2903",hkunlp-instructor-large
394,Which property did James Monroe sell in 1817?,"2506,2507,2520,2521,2522",intfloat-e5-small-v2
283,What is the weather like at Lake Volta?,"945,1359,1582,2328,2641",bert-base-uncased
283,What is the weather like at Lake Volta?,"34,1359,2263,2368,3095",multi-qa-mpnet-base-dot-v1
283,What is the weather like at Lake Volta?,"140,789,1599,2368,2543",hkunlp-instructor-large
283,What is the weather like at Lake Volta?,"1359,1507,1531,1944,2682",intfloat-e5-small-v2
533,What is the smallest German-speaking country in the world?,"938,1553,1622,2846,2847",bert-base-uncased
533,What is the smallest German-speaking country in the world?,"1596,2371,2611,2817,2856",multi-qa-mpnet-base-dot-v1
533,What is the smallest German-speaking country in the world?,"29,30,1592,2571,2611",hkunlp-instructor-large
533,What is the smallest German-speaking country in the world?,"2682,2817,2846,2847,2856",intfloat-e5-small-v2
858,Who heavily influenced the architecture and culture of Montevideo?,"48,928,1682,2796,2798",bert-base-uncased
858,Who heavily influenced the architecture and culture of Montevideo?,"37,48,65,2364,2372",multi-qa-mpnet-base-dot-v1
858,Who heavily influenced the architecture and culture of Montevideo?,"29,37,2571,2834,3162",hkunlp-instructor-large
858,Who heavily influenced the architecture and culture of Montevideo?,"11,16,37,40,48",intfloat-e5-small-v2
219,Were the treaties signed in 1947 and 1948 with the Ukraine?,"1566,1572,2188,2222,3076",bert-base-uncased
219,Were the treaties signed in 1947 and 1948 with the Ukraine?,"1572,1573,1639,2178,2183",multi-qa-mpnet-base-dot-v1
219,Were the treaties signed in 1947 and 1948 with the Ukraine?,"29,30,1592,2183,2195",hkunlp-instructor-large
219,Were the treaties signed in 1947 and 1948 with the Ukraine?,"760,1572,1573,1911,2682",intfloat-e5-small-v2
167,Are ducks an accepted presence in some populated areas?,"1120,1121,2433,2457,3187",bert-base-uncased
167,Are ducks an accepted presence in some populated areas?,"3163,3167,3176,3180,3187",multi-qa-mpnet-base-dot-v1
167,Are ducks an accepted presence in some populated areas?,"789,2619,2642,2816,3179",hkunlp-instructor-large
167,Are ducks an accepted presence in some populated areas?,"3163,3167,3176,3180,3187",intfloat-e5-small-v2
739,How many people use the bus network daily?,"1699,1703,2141,3120,3121",bert-base-uncased
739,How many people use the bus network daily?,"2809,2811,2814,2861,3118",multi-qa-mpnet-base-dot-v1
739,How many people use the bus network daily?,"789,2718,2814,2816,3118",hkunlp-instructor-large
739,How many people use the bus network daily?,"760,2120,2682,2809,2811",intfloat-e5-small-v2
850,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,"594,1855,1856,1976,2797",bert-base-uncased
850,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,"99,1856,2299,2728,2738",multi-qa-mpnet-base-dot-v1
850,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,"2299,2707,2718,2728,2834",hkunlp-instructor-large
850,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,"760,1855,1856,1857,2120",intfloat-e5-small-v2
604,How do otters keep themselves warm without blubber?,"1227,1919,1927,2629,2684",bert-base-uncased
604,How do otters keep themselves warm without blubber?,"1916,1917,1927,2596,2599",multi-qa-mpnet-base-dot-v1
604,How do otters keep themselves warm without blubber?,"1929,2596,2633,2642,2652",hkunlp-instructor-large
604,How do otters keep themselves warm without blubber?,"963,1916,1917,1919,1927",intfloat-e5-small-v2
725,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?","48,3048,3110,3126,3139",bert-base-uncased
725,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?","3048,3071,3111,3127,3139",multi-qa-mpnet-base-dot-v1
725,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?","3060,3092,3118,3127,3130",hkunlp-instructor-large
725,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?","3048,3126,3127,3129,3139",intfloat-e5-small-v2
192,Are elephants the largest land animals alive today?,"1178,1192,1200,1241,1274",bert-base-uncased
192,Are elephants the largest land animals alive today?,"1177,1192,1236,1260,1282",multi-qa-mpnet-base-dot-v1
192,Are elephants the largest land animals alive today?,"1186,1197,1202,1224,2467",hkunlp-instructor-large
192,Are elephants the largest land animals alive today?,"1175,1177,1192,1236,1264",intfloat-e5-small-v2
362,Is Indonesia a republic?,"167,819,886,1329,2141",bert-base-uncased
362,Is Indonesia a republic?,"751,774,782,785,795",multi-qa-mpnet-base-dot-v1
362,Is Indonesia a republic?,"782,788,789,792,795",hkunlp-instructor-large
362,Is Indonesia a republic?,"751,774,781,784,820",intfloat-e5-small-v2
53,Was Celsius born in Uppsala in Sweden ?,"141,142,143,1109,1279",bert-base-uncased
53,Was Celsius born in Uppsala in Sweden ?,"140,141,142,143,145",multi-qa-mpnet-base-dot-v1
53,Was Celsius born in Uppsala in Sweden ?,"140,1592,1595,1596,1599",hkunlp-instructor-large
53,Was Celsius born in Uppsala in Sweden ?,"140,142,143,145,146",intfloat-e5-small-v2
387,What did James Monroe do before being elected governor?,"200,478,636,656,2228",bert-base-uncased
387,What did James Monroe do before being elected governor?,"2506,2508,2510,2519,2535",multi-qa-mpnet-base-dot-v1
387,What did James Monroe do before being elected governor?,"289,499,2518,2883,2892",hkunlp-instructor-large
387,What did James Monroe do before being elected governor?,"2506,2508,2510,2512,2535",intfloat-e5-small-v2
679,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,"1095,1114,1184,1266,2625",bert-base-uncased
679,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,"2608,2621,2642,2652,2661",multi-qa-mpnet-base-dot-v1
679,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,"1147,2596,2608,2642,2652",hkunlp-instructor-large
679,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,"2591,2624,2632,2661,2682",intfloat-e5-small-v2
96,Was Coolidge the thirteenth President of the United States?,"423,436,452,458,2965",bert-base-uncased
96,Was Coolidge the thirteenth President of the United States?,"404,433,444,463,465",multi-qa-mpnet-base-dot-v1
96,Was Coolidge the thirteenth President of the United States?,"289,413,680,2518,2903",hkunlp-instructor-large
96,Was Coolidge the thirteenth President of the United States?,"400,401,405,415,424",intfloat-e5-small-v2
742,How is Singapore's climate characterized?,"62,886,1553,1554,2141",bert-base-uncased
742,How is Singapore's climate characterized?,"2368,2707,2726,2733,2812",multi-qa-mpnet-base-dot-v1
742,How is Singapore's climate characterized?,"788,789,2368,2543,2571",hkunlp-instructor-large
742,How is Singapore's climate characterized?,"760,1590,2368,2700,2733",intfloat-e5-small-v2
753,When did Goh Chok Tong succeed Lee as Prime Minister?,"1348,2714,2715,2717,2722",bert-base-uncased
753,When did Goh Chok Tong succeed Lee as Prime Minister?,"771,2715,2716,2717,3085",multi-qa-mpnet-base-dot-v1
753,When did Goh Chok Tong succeed Lee as Prime Minister?,"782,788,789,2299,2718",hkunlp-instructor-large
753,When did Goh Chok Tong succeed Lee as Prime Minister?,"760,2714,2715,2716,2717",intfloat-e5-small-v2
910,Who did Wilson win in 1917?,"532,2238,2243,2248,2931",bert-base-uncased
910,Who did Wilson win in 1917?,"2153,2195,2231,2238,2245",multi-qa-mpnet-base-dot-v1
910,Who did Wilson win in 1917?,"202,203,1827,2195,2210",hkunlp-instructor-large
910,Who did Wilson win in 1917?,"2166,2169,2170,2171,2198",intfloat-e5-small-v2
284,Is Ghana in Asia?,"1269,1329,1338,1616,3188",bert-base-uncased
284,Is Ghana in Asia?,"1334,1338,1355,1357,1367",multi-qa-mpnet-base-dot-v1
284,Is Ghana in Asia?,"795,1355,1357,1367,2571",hkunlp-instructor-large
284,Is Ghana in Asia?,"1334,1335,1357,1358,1367",intfloat-e5-small-v2
274,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,"161,436,491,2039,2043",bert-base-uncased
274,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,"2042,2043,2044,2045,2046",multi-qa-mpnet-base-dot-v1
274,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,"2025,2053,2086,2115,2116",hkunlp-instructor-large
274,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,"2038,2043,2044,2045,2046",intfloat-e5-small-v2
293,Do wolf pups tend to have darker fur than adults?,"1031,1036,1045,1055,1064",bert-base-uncased
293,Do wolf pups tend to have darker fur than adults?,"1026,1032,1034,1035,1174",multi-qa-mpnet-base-dot-v1
293,Do wolf pups tend to have darker fur than adults?,"1026,1147,1171,1172,2642",hkunlp-instructor-large
293,Do wolf pups tend to have darker fur than adults?,"1031,1032,1034,1036,1067",intfloat-e5-small-v2
451,"What do kangaroos use for ""crawl-walking?""","961,1212,1726,1727,1739",bert-base-uncased
451,"What do kangaroos use for ""crawl-walking?""","1728,1735,1738,1751,1752",multi-qa-mpnet-base-dot-v1
451,"What do kangaroos use for ""crawl-walking?""","789,1761,2467,2642,2814",hkunlp-instructor-large
451,"What do kangaroos use for ""crawl-walking?""","1729,1738,1739,1746,1752",intfloat-e5-small-v2
601,What is the primary item in an otter's diet?,"1088,1239,1917,1918,1927",bert-base-uncased
601,What is the primary item in an otter's diet?,"1260,1917,1918,1926,1929",multi-qa-mpnet-base-dot-v1
601,What is the primary item in an otter's diet?,"1197,1929,2467,2596,2642",hkunlp-instructor-large
601,What is the primary item in an otter's diet?,"1917,1918,1919,1926,1927",intfloat-e5-small-v2
312,Did Grover Cleveland support women's suffrage?,"314,332,513,1501,2203",bert-base-uncased
312,Did Grover Cleveland support women's suffrage?,"499,513,516,532,534",multi-qa-mpnet-base-dot-v1
312,Did Grover Cleveland support women's suffrage?,"202,499,501,526,2116",hkunlp-instructor-large
312,Did Grover Cleveland support women's suffrage?,"474,483,499,513,2203",intfloat-e5-small-v2
172,What expression is part of a conceptual framework for testing computer systems?,"227,228,229,239,3193",bert-base-uncased
172,What expression is part of a conceptual framework for testing computer systems?,"632,633,1945,2682,3193",multi-qa-mpnet-base-dot-v1
172,What expression is part of a conceptual framework for testing computer systems?,"789,896,898,946,2483",hkunlp-instructor-large
172,What expression is part of a conceptual framework for testing computer systems?,"760,896,1945,2682,3193",intfloat-e5-small-v2
532,How many municipalities are within Oberland?,"1583,1616,1699,2141,2825",bert-base-uncased
532,How many municipalities are within Oberland?,"1603,2367,2619,2842,3147",multi-qa-mpnet-base-dot-v1
532,How many municipalities are within Oberland?,"1592,1599,1603,1604,2367",hkunlp-instructor-large
532,How many municipalities are within Oberland?,"760,2682,2842,3110,3148",intfloat-e5-small-v2
733,Was the Bucharest Metro only opened in 1979 ?,"880,886,1448,2141,2694",bert-base-uncased
733,Was the Bucharest Metro only opened in 1979 ?,"3105,3111,3115,3118,3121",multi-qa-mpnet-base-dot-v1
733,Was the Bucharest Metro only opened in 1979 ?,"3060,3092,3111,3118,3130",hkunlp-instructor-large
733,Was the Bucharest Metro only opened in 1979 ?,"3082,3087,3089,3121,3131",intfloat-e5-small-v2
193,Can an elephant kill a rhinoceros?,"1116,1210,1274,1276,1294",bert-base-uncased
193,Can an elephant kill a rhinoceros?,"1186,1187,1197,1202,1260",multi-qa-mpnet-base-dot-v1
193,Can an elephant kill a rhinoceros?,"1186,1197,1202,1224,2642",hkunlp-instructor-large
193,Can an elephant kill a rhinoceros?,"1223,1266,1312,1314,1320",intfloat-e5-small-v2
645,Can larger penguins dive deep in case of need ?,"978,1042,1210,2593,2629",bert-base-uncased
645,Can larger penguins dive deep in case of need ?,"957,958,960,962,963",multi-qa-mpnet-base-dot-v1
645,Can larger penguins dive deep in case of need ?,"950,1197,2467,2628,2642",hkunlp-instructor-large
645,Can larger penguins dive deep in case of need ?,"959,960,961,963,3168",intfloat-e5-small-v2
782,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,"423,452,491,2216,2955",bert-base-uncased
782,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,"442,2208,2210,2245,2924",multi-qa-mpnet-base-dot-v1
782,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,"374,2210,2518,2718,2883",hkunlp-instructor-large
782,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,"1864,2924,2952,2959,3004",intfloat-e5-small-v2
238,Are there cathedrals scattered all across Finland?,"48,1580,1585,1586,1674",bert-base-uncased
238,Are there cathedrals scattered all across Finland?,"1592,1595,1596,1603,1674",multi-qa-mpnet-base-dot-v1
238,Are there cathedrals scattered all across Finland?,"1592,1595,1596,1597,1627",hkunlp-instructor-large
238,Are there cathedrals scattered all across Finland?,"1585,1615,1668,1670,1674",intfloat-e5-small-v2
518,When was the first factory opened?,"129,1399,1480,2228,2968",bert-base-uncased
518,When was the first factory opened?,"2113,2364,2611,2682,2826",multi-qa-mpnet-base-dot-v1
518,When was the first factory opened?,"906,1172,2180,2718,3162",hkunlp-instructor-large
518,When was the first factory opened?,"760,1394,1956,2364,2826",intfloat-e5-small-v2
48,Is The Celsius crater on the Moon named after him?,"148,627,836,1475,2266",bert-base-uncased
48,Is The Celsius crater on the Moon named after him?,"125,148,836,1475,1515",multi-qa-mpnet-base-dot-v1
48,Is The Celsius crater on the Moon named after him?,"140,148,1475,2518,3009",hkunlp-instructor-large
48,Is The Celsius crater on the Moon named after him?,"125,148,836,1475,1515",intfloat-e5-small-v2
417,Did John Adams represent the Continental Congress in Europe?,"157,643,652,662,676",bert-base-uncased
417,Did John Adams represent the Continental Congress in Europe?,"637,652,662,680,694",multi-qa-mpnet-base-dot-v1
417,Did John Adams represent the Continental Congress in Europe?,"670,680,2655,2718,2903",hkunlp-instructor-large
417,Did John Adams represent the Continental Congress in Europe?,"637,643,652,662,671",intfloat-e5-small-v2
909,"What defended slavery, owned slaves and S08_set up a Sunday school for them?","314,359,381,658,1501",bert-base-uncased
909,"What defended slavery, owned slaves and S08_set up a Sunday school for them?","285,391,2364,2912,2913",multi-qa-mpnet-base-dot-v1
909,"What defended slavery, owned slaves and S08_set up a Sunday school for them?","289,906,2364,2903,3162",hkunlp-instructor-large
909,"What defended slavery, owned slaves and S08_set up a Sunday school for them?","760,2120,2364,2535,2682",intfloat-e5-small-v2
338,Is it true that he shared the nobel prize in physics?,"539,591,701,1448,1544",bert-base-uncased
338,Is it true that he shared the nobel prize in physics?,"125,834,1389,1431,1433",multi-qa-mpnet-base-dot-v1
338,Is it true that he shared the nobel prize in physics?,"586,1391,1407,1513,2312",hkunlp-instructor-large
338,Is it true that he shared the nobel prize in physics?,"598,834,1377,1431,1443",intfloat-e5-small-v2
805,Name a turtle popularly kept as a pet.,"1727,1914,2692,2693,2973",bert-base-uncased
805,Name a turtle popularly kept as a pet.,"2685,2693,2696,2697,2698",multi-qa-mpnet-base-dot-v1
805,Name a turtle popularly kept as a pet.,"789,1202,2467,2642,2685",hkunlp-instructor-large
805,Name a turtle popularly kept as a pet.,"2683,2692,2693,2696,2698",intfloat-e5-small-v2
333,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"160,305,488,1835,2657",bert-base-uncased
333,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"168,305,488,2905,2928",multi-qa-mpnet-base-dot-v1
333,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"1172,1600,2180,2467,3118",hkunlp-instructor-large
333,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"165,381,488,760,2682",intfloat-e5-small-v2
896,What field did Woodrow Wilson leave law practice to study?,"129,379,401,2135,2141",bert-base-uncased
896,What field did Woodrow Wilson leave law practice to study?,"2133,2135,2195,2209,2238",multi-qa-mpnet-base-dot-v1
896,What field did Woodrow Wilson leave law practice to study?,"289,2195,2208,2210,3161",hkunlp-instructor-large
896,What field did Woodrow Wilson leave law practice to study?,"523,2133,2134,2135,2146",intfloat-e5-small-v2
61,Which defense mechanism uses colour or shape to deceive potential enemies?,"1757,2403,2407,2408,2409",bert-base-uncased
61,Which defense mechanism uses colour or shape to deceive potential enemies?,"1033,1042,2407,2408,2409",multi-qa-mpnet-base-dot-v1
61,Which defense mechanism uses colour or shape to deceive potential enemies?,"789,896,2467,2642,2648",hkunlp-instructor-large
61,Which defense mechanism uses colour or shape to deceive potential enemies?,"760,1507,2408,2409,2682",intfloat-e5-small-v2
758,What is the most densely populated independent country in the world?,"938,1622,2271,2846,3048",bert-base-uncased
758,What is the most densely populated independent country in the world?,"2327,2368,2611,2614,2619",multi-qa-mpnet-base-dot-v1
758,What is the most densely populated independent country in the world?,"29,782,795,2571,2619",hkunlp-instructor-large
758,What is the most densely populated independent country in the world?,"797,815,1609,2327,2759",intfloat-e5-small-v2
196,How long may elephants live?,"232,580,1287,1293,2906",bert-base-uncased
196,How long may elephants live?,"1177,1186,1221,1236,1260",multi-qa-mpnet-base-dot-v1
196,How long may elephants live?,"1186,1197,1202,1224,1252",hkunlp-instructor-large
196,How long may elephants live?,"1175,1177,1222,1257,1265",intfloat-e5-small-v2
546,Is it a winter sports resort?,"1074,1167,1269,2596,2628",bert-base-uncased
546,Is it a winter sports resort?,"1374,1717,2611,2612,2621",multi-qa-mpnet-base-dot-v1
546,Is it a winter sports resort?,"1592,2543,2608,2642,2814",hkunlp-instructor-large
546,Is it a winter sports resort?,"760,1507,1944,1945,2682",intfloat-e5-small-v2
794,Are turtles pets?,"1210,2692,2697,2698,3185",bert-base-uncased
794,Are turtles pets?,"2683,2685,2693,2696,2698",multi-qa-mpnet-base-dot-v1
794,Are turtles pets?,"789,2467,2642,2648,2685",hkunlp-instructor-large
794,Are turtles pets?,"2684,2688,2692,2693,2698",intfloat-e5-small-v2
332,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,"525,699,706,1396,2226",bert-base-uncased
332,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,"147,525,567,1967,2999",multi-qa-mpnet-base-dot-v1
332,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,"117,289,567,2718,2903",hkunlp-instructor-large
332,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,"147,188,262,525,3002",intfloat-e5-small-v2
